id,text,label
V000,Pemerintah resmi menetapkan libur nasional pada hari raya bulan depan. ini itu,0
H000,Vaksin covid-19 secara rahasia mengandung chip mikro untuk melacak pergerakan manusia!!! !! gawat,1
V001,Bank Indonesia melaporkan pertumbuhan ekonomi kuartal ini naik 5 persen. ini itu,0
H001,"Kiamat akan terjadi hari Jumat bulan depan, NASA tutupi fakta ini! Sebarkan! !! !!",1
V002,"Gempa bermagnitudo 5.2 mengguncang wilayah pesisir, tidak berpotensi tsunami. ini di",0
H002,Rebusan daun sirih dan madu diklaim bisa menyembuhkan kanker kronis stadium 4 dalam semalam. gawat gawat,1
V003,Kementerian Kesehatan mendistribusikan vaksin polio ke 10 provinsi. ini ini,0
H003,"Awas! Jangan makan mi instan dicampur coklat, bisa menyebabkan usus berdarah dan kematian instan! awas !!",1
V004,Pertandingan final liga 1 dimenangkan oleh tim tuan rumah dengan skor 2-0. itu itu,0
H004,"Alien tertangkap kamera CCTV mendarat di atap gedung DPR, pemerintah diam saja! awas gawat",1
V005,Harga emas antam hari ini stagnan di angka 1 juta rupiah per gram. di dan,0
H005,"Bantuan langsung tunai 50 juta dari pemerintah, klik link ini sekarang sebelum kehabisan!!! viralkan awas",1
V006,BMKG memprediksi hujan lebat disertai angin kencang di Jabodetabek besok. itu di,0
H006,"Waspada penculikan anak menggunakan mobil putih, mereka mengambil organ dalam anak-anak! viralkan viralkan",1
V007,Polisi menetapkan tersangka baru dalam kasus korupsi pengadaan infrastruktur. itu itu,0
H007,"Terungkap! Bumi sebenarnya datar, satelit hanya tipuan konspirasi elit global. !! !!",1
V008,Presiden menghadiri KTT ASEAN di Jakarta hari ini. itu di,0
H008,Minum air es setelah kepanasan bisa membuat pembuluh darah pecah seketika. viralkan !!,1
V009,Pendaftaran beasiswa LPDP gelombang kedua resmi dibuka hari ini. itu dan,0
H009,"Cina kirim jutaan tentara pakai baju sipil untuk kuasai pulau Jawa, ini buktinya! !! gawat",1
V010,Pemerintah resmi menetapkan libur nasional pada hari raya bulan depan. ini ini,0
H010,Vaksin covid-19 secara rahasia mengandung chip mikro untuk melacak pergerakan manusia!!! viralkan awas,1
V011,Bank Indonesia melaporkan pertumbuhan ekonomi kuartal ini naik 5 persen. itu itu,0
H011,"Kiamat akan terjadi hari Jumat bulan depan, NASA tutupi fakta ini! Sebarkan! awas gawat",1
V012,"Gempa bermagnitudo 5.2 mengguncang wilayah pesisir, tidak berpotensi tsunami. di di",0
H012,Rebusan daun sirih dan madu diklaim bisa menyembuhkan kanker kronis stadium 4 dalam semalam. gawat viralkan,1
V013,Kementerian Kesehatan mendistribusikan vaksin polio ke 10 provinsi. ini itu,0
H013,"Awas! Jangan makan mi instan dicampur coklat, bisa menyebabkan usus berdarah dan kematian instan! gawat awas",1
V014,Pertandingan final liga 1 dimenangkan oleh tim tuan rumah dengan skor 2-0. itu dan,0
H014,"Alien tertangkap kamera CCTV mendarat di atap gedung DPR, pemerintah diam saja! gawat !!",1
V015,Harga emas antam hari ini stagnan di angka 1 juta rupiah per gram. ini ini,0
H015,"Bantuan langsung tunai 50 juta dari pemerintah, klik link ini sekarang sebelum kehabisan!!! !! !!",1
V016,BMKG memprediksi hujan lebat disertai angin kencang di Jabodetabek besok. ini di,0
H016,"Waspada penculikan anak menggunakan mobil putih, mereka mengambil organ dalam anak-anak! awas !!",1
V017,Polisi menetapkan tersangka baru dalam kasus korupsi pengadaan infrastruktur. itu di,0
H017,"Terungkap! Bumi sebenarnya datar, satelit hanya tipuan konspirasi elit global. viralkan viralkan",1
V018,Presiden menghadiri KTT ASEAN di Jakarta hari ini. dan di,0
H018,Minum air es setelah kepanasan bisa membuat pembuluh darah pecah seketika. !! viralkan,1
V019,Pendaftaran beasiswa LPDP gelombang kedua resmi dibuka hari ini. itu itu,0
H019,"Cina kirim jutaan tentara pakai baju sipil untuk kuasai pulau Jawa, ini buktinya! gawat awas",1
V020,Pemerintah resmi menetapkan libur nasional pada hari raya bulan depan. ini itu,0
H020,Vaksin covid-19 secara rahasia mengandung chip mikro untuk melacak pergerakan manusia!!! !! awas,1
V021,Bank Indonesia melaporkan pertumbuhan ekonomi kuartal ini naik 5 persen. ini ini,0
H021,"Kiamat akan terjadi hari Jumat bulan depan, NASA tutupi fakta ini! Sebarkan! viralkan !!",1
V022,"Gempa bermagnitudo 5.2 mengguncang wilayah pesisir, tidak berpotensi tsunami. itu di",0
H022,Rebusan daun sirih dan madu diklaim bisa menyembuhkan kanker kronis stadium 4 dalam semalam. awas awas,1
V023,Kementerian Kesehatan mendistribusikan vaksin polio ke 10 provinsi. di di,0
H023,"Awas! Jangan makan mi instan dicampur coklat, bisa menyebabkan usus berdarah dan kematian instan! viralkan viralkan",1
V024,Pertandingan final liga 1 dimenangkan oleh tim tuan rumah dengan skor 2-0. di itu,0
H024,"Alien tertangkap kamera CCTV mendarat di atap gedung DPR, pemerintah diam saja! viralkan !!",1
V025,Harga emas antam hari ini stagnan di angka 1 juta rupiah per gram. ini di,0
H025,"Bantuan langsung tunai 50 juta dari pemerintah, klik link ini sekarang sebelum kehabisan!!! viralkan awas",1
V026,BMKG memprediksi hujan lebat disertai angin kencang di Jabodetabek besok. di di,0
H026,"Waspada penculikan anak menggunakan mobil putih, mereka mengambil organ dalam anak-anak! viralkan awas",1
V027,Polisi menetapkan tersangka baru dalam kasus korupsi pengadaan infrastruktur. di ini,0
H027,"Terungkap! Bumi sebenarnya datar, satelit hanya tipuan konspirasi elit global. awas gawat",1
V028,Presiden menghadiri KTT ASEAN di Jakarta hari ini. itu di,0
H028,Minum air es setelah kepanasan bisa membuat pembuluh darah pecah seketika. gawat awas,1
V029,Pendaftaran beasiswa LPDP gelombang kedua resmi dibuka hari ini. dan di,0
H029,"Cina kirim jutaan tentara pakai baju sipil untuk kuasai pulau Jawa, ini buktinya! awas !!",1
V030,Pemerintah resmi menetapkan libur nasional pada hari raya bulan depan. itu dan,0
H030,Vaksin covid-19 secara rahasia mengandung chip mikro untuk melacak pergerakan manusia!!! viralkan gawat,1
V031,Bank Indonesia melaporkan pertumbuhan ekonomi kuartal ini naik 5 persen. dan itu,0
H031,"Kiamat akan terjadi hari Jumat bulan depan, NASA tutupi fakta ini! Sebarkan! viralkan !!",1
V032,"Gempa bermagnitudo 5.2 mengguncang wilayah pesisir, tidak berpotensi tsunami. itu itu",0
H032,Rebusan daun sirih dan madu diklaim bisa menyembuhkan kanker kronis stadium 4 dalam semalam. awas !!,1
V033,Kementerian Kesehatan mendistribusikan vaksin polio ke 10 provinsi. dan dan,0
H033,"Awas! Jangan makan mi instan dicampur coklat, bisa menyebabkan usus berdarah dan kematian instan! gawat !!",1
V034,Pertandingan final liga 1 dimenangkan oleh tim tuan rumah dengan skor 2-0. dan dan,0
H034,"Alien tertangkap kamera CCTV mendarat di atap gedung DPR, pemerintah diam saja! gawat !!",1
V035,Harga emas antam hari ini stagnan di angka 1 juta rupiah per gram. itu dan,0
H035,"Bantuan langsung tunai 50 juta dari pemerintah, klik link ini sekarang sebelum kehabisan!!! awas awas",1
V036,BMKG memprediksi hujan lebat disertai angin kencang di Jabodetabek besok. itu ini,0
H036,"Waspada penculikan anak menggunakan mobil putih, mereka mengambil organ dalam anak-anak! gawat gawat",1
V037,Polisi menetapkan tersangka baru dalam kasus korupsi pengadaan infrastruktur. dan itu,0
H037,"Terungkap! Bumi sebenarnya datar, satelit hanya tipuan konspirasi elit global. gawat gawat",1
V038,Presiden menghadiri KTT ASEAN di Jakarta hari ini. dan ini,0
H038,Minum air es setelah kepanasan bisa membuat pembuluh darah pecah seketika. !! viralkan,1
V039,Pendaftaran beasiswa LPDP gelombang kedua resmi dibuka hari ini. ini di,0
H039,"Cina kirim jutaan tentara pakai baju sipil untuk kuasai pulau Jawa, ini buktinya! !! awas",1
V040,Pemerintah resmi menetapkan libur nasional pada hari raya bulan depan. ini dan,0
H040,Vaksin covid-19 secara rahasia mengandung chip mikro untuk melacak pergerakan manusia!!! awas awas,1
V041,Bank Indonesia melaporkan pertumbuhan ekonomi kuartal ini naik 5 persen. di dan,0
H041,"Kiamat akan terjadi hari Jumat bulan depan, NASA tutupi fakta ini! Sebarkan! awas gawat",1
V042,"Gempa bermagnitudo 5.2 mengguncang wilayah pesisir, tidak berpotensi tsunami. ini di",0
H042,Rebusan daun sirih dan madu diklaim bisa menyembuhkan kanker kronis stadium 4 dalam semalam. awas !!,1
V043,Kementerian Kesehatan mendistribusikan vaksin polio ke 10 provinsi. ini itu,0
H043,"Awas! Jangan makan mi instan dicampur coklat, bisa menyebabkan usus berdarah dan kematian instan! awas viralkan",1
V044,Pertandingan final liga 1 dimenangkan oleh tim tuan rumah dengan skor 2-0. ini ini,0
H044,"Alien tertangkap kamera CCTV mendarat di atap gedung DPR, pemerintah diam saja! !! gawat",1
V045,Harga emas antam hari ini stagnan di angka 1 juta rupiah per gram. dan ini,0
H045,"Bantuan langsung tunai 50 juta dari pemerintah, klik link ini sekarang sebelum kehabisan!!! viralkan gawat",1
V046,BMKG memprediksi hujan lebat disertai angin kencang di Jabodetabek besok. dan dan,0
H046,"Waspada penculikan anak menggunakan mobil putih, mereka mengambil organ dalam anak-anak! viralkan gawat",1
V047,Polisi menetapkan tersangka baru dalam kasus korupsi pengadaan infrastruktur. ini di,0
H047,"Terungkap! Bumi sebenarnya datar, satelit hanya tipuan konspirasi elit global. gawat gawat",1
V048,Presiden menghadiri KTT ASEAN di Jakarta hari ini. dan ini,0
H048,Minum air es setelah kepanasan bisa membuat pembuluh darah pecah seketika. gawat viralkan,1
V049,Pendaftaran beasiswa LPDP gelombang kedua resmi dibuka hari ini. di itu,0
H049,"Cina kirim jutaan tentara pakai baju sipil untuk kuasai pulau Jawa, ini buktinya! !! gawat",1
V050,Pemerintah resmi menetapkan libur nasional pada hari raya bulan depan. ini itu,0
H050,Vaksin covid-19 secara rahasia mengandung chip mikro untuk melacak pergerakan manusia!!! gawat !!,1
V051,Bank Indonesia melaporkan pertumbuhan ekonomi kuartal ini naik 5 persen. itu dan,0
H051,"Kiamat akan terjadi hari Jumat bulan depan, NASA tutupi fakta ini! Sebarkan! awas awas",1
V052,"Gempa bermagnitudo 5.2 mengguncang wilayah pesisir, tidak berpotensi tsunami. di dan",0
H052,Rebusan daun sirih dan madu diklaim bisa menyembuhkan kanker kronis stadium 4 dalam semalam. gawat gawat,1
V053,Kementerian Kesehatan mendistribusikan vaksin polio ke 10 provinsi. dan ini,0
H053,"Awas! Jangan makan mi instan dicampur coklat, bisa menyebabkan usus berdarah dan kematian instan! gawat !!",1
V054,Pertandingan final liga 1 dimenangkan oleh tim tuan rumah dengan skor 2-0. itu dan,0
H054,"Alien tertangkap kamera CCTV mendarat di atap gedung DPR, pemerintah diam saja! awas gawat",1
V055,Harga emas antam hari ini stagnan di angka 1 juta rupiah per gram. ini ini,0
H055,"Bantuan langsung tunai 50 juta dari pemerintah, klik link ini sekarang sebelum kehabisan!!! viralkan awas",1
V056,BMKG memprediksi hujan lebat disertai angin kencang di Jabodetabek besok. di di,0
H056,"Waspada penculikan anak menggunakan mobil putih, mereka mengambil organ dalam anak-anak! !! viralkan",1
V057,Polisi menetapkan tersangka baru dalam kasus korupsi pengadaan infrastruktur. dan dan,0
H057,"Terungkap! Bumi sebenarnya datar, satelit hanya tipuan konspirasi elit global. viralkan awas",1
V058,Presiden menghadiri KTT ASEAN di Jakarta hari ini. itu itu,0
H058,Minum air es setelah kepanasan bisa membuat pembuluh darah pecah seketika. awas awas,1
V059,Pendaftaran beasiswa LPDP gelombang kedua resmi dibuka hari ini. di di,0
H059,"Cina kirim jutaan tentara pakai baju sipil untuk kuasai pulau Jawa, ini buktinya! gawat awas",1
V060,Pemerintah resmi menetapkan libur nasional pada hari raya bulan depan. di ini,0
H060,Vaksin covid-19 secara rahasia mengandung chip mikro untuk melacak pergerakan manusia!!! awas !!,1
V061,Bank Indonesia melaporkan pertumbuhan ekonomi kuartal ini naik 5 persen. ini di,0
H061,"Kiamat akan terjadi hari Jumat bulan depan, NASA tutupi fakta ini! Sebarkan! !! !!",1
V062,"Gempa bermagnitudo 5.2 mengguncang wilayah pesisir, tidak berpotensi tsunami. dan ini",0
H062,Rebusan daun sirih dan madu diklaim bisa menyembuhkan kanker kronis stadium 4 dalam semalam. viralkan !!,1
V063,Kementerian Kesehatan mendistribusikan vaksin polio ke 10 provinsi. itu dan,0
H063,"Awas! Jangan makan mi instan dicampur coklat, bisa menyebabkan usus berdarah dan kematian instan! !! gawat",1
V064,Pertandingan final liga 1 dimenangkan oleh tim tuan rumah dengan skor 2-0. ini di,0
H064,"Alien tertangkap kamera CCTV mendarat di atap gedung DPR, pemerintah diam saja! awas gawat",1
V065,Harga emas antam hari ini stagnan di angka 1 juta rupiah per gram. dan di,0
H065,"Bantuan langsung tunai 50 juta dari pemerintah, klik link ini sekarang sebelum kehabisan!!! !! !!",1
V066,BMKG memprediksi hujan lebat disertai angin kencang di Jabodetabek besok. ini di,0
H066,"Waspada penculikan anak menggunakan mobil putih, mereka mengambil organ dalam anak-anak! awas awas",1
V067,Polisi menetapkan tersangka baru dalam kasus korupsi pengadaan infrastruktur. ini ini,0
H067,"Terungkap! Bumi sebenarnya datar, satelit hanya tipuan konspirasi elit global. viralkan awas",1
V068,Presiden menghadiri KTT ASEAN di Jakarta hari ini. itu itu,0
H068,Minum air es setelah kepanasan bisa membuat pembuluh darah pecah seketika. !! awas,1
V069,Pendaftaran beasiswa LPDP gelombang kedua resmi dibuka hari ini. dan di,0
H069,"Cina kirim jutaan tentara pakai baju sipil untuk kuasai pulau Jawa, ini buktinya! !! viralkan",1
V070,Pemerintah resmi menetapkan libur nasional pada hari raya bulan depan. itu itu,0
H070,Vaksin covid-19 secara rahasia mengandung chip mikro untuk melacak pergerakan manusia!!! viralkan gawat,1
V071,Bank Indonesia melaporkan pertumbuhan ekonomi kuartal ini naik 5 persen. di ini,0
H071,"Kiamat akan terjadi hari Jumat bulan depan, NASA tutupi fakta ini! Sebarkan! !! !!",1
V072,"Gempa bermagnitudo 5.2 mengguncang wilayah pesisir, tidak berpotensi tsunami. dan itu",0
H072,Rebusan daun sirih dan madu diklaim bisa menyembuhkan kanker kronis stadium 4 dalam semalam. !! gawat,1
V073,Kementerian Kesehatan mendistribusikan vaksin polio ke 10 provinsi. dan di,0
H073,"Awas! Jangan makan mi instan dicampur coklat, bisa menyebabkan usus berdarah dan kematian instan! viralkan awas",1
V074,Pertandingan final liga 1 dimenangkan oleh tim tuan rumah dengan skor 2-0. di ini,0
H074,"Alien tertangkap kamera CCTV mendarat di atap gedung DPR, pemerintah diam saja! !! awas",1
V075,Harga emas antam hari ini stagnan di angka 1 juta rupiah per gram. dan dan,0
H075,"Bantuan langsung tunai 50 juta dari pemerintah, klik link ini sekarang sebelum kehabisan!!! gawat viralkan",1
V076,BMKG memprediksi hujan lebat disertai angin kencang di Jabodetabek besok. di dan,0
H076,"Waspada penculikan anak menggunakan mobil putih, mereka mengambil organ dalam anak-anak! awas viralkan",1
V077,Polisi menetapkan tersangka baru dalam kasus korupsi pengadaan infrastruktur. itu di,0
H077,"Terungkap! Bumi sebenarnya datar, satelit hanya tipuan konspirasi elit global. awas gawat",1
V078,Presiden menghadiri KTT ASEAN di Jakarta hari ini. itu ini,0
H078,Minum air es setelah kepanasan bisa membuat pembuluh darah pecah seketika. gawat awas,1
V079,Pendaftaran beasiswa LPDP gelombang kedua resmi dibuka hari ini. ini dan,0
H079,"Cina kirim jutaan tentara pakai baju sipil untuk kuasai pulau Jawa, ini buktinya! gawat viralkan",1
V080,Pemerintah resmi menetapkan libur nasional pada hari raya bulan depan. itu dan,0
H080,Vaksin covid-19 secara rahasia mengandung chip mikro untuk melacak pergerakan manusia!!! awas viralkan,1
V081,Bank Indonesia melaporkan pertumbuhan ekonomi kuartal ini naik 5 persen. di di,0
H081,"Kiamat akan terjadi hari Jumat bulan depan, NASA tutupi fakta ini! Sebarkan! gawat gawat",1
V082,"Gempa bermagnitudo 5.2 mengguncang wilayah pesisir, tidak berpotensi tsunami. itu itu",0
H082,Rebusan daun sirih dan madu diklaim bisa menyembuhkan kanker kronis stadium 4 dalam semalam. !! !!,1
V083,Kementerian Kesehatan mendistribusikan vaksin polio ke 10 provinsi. itu ini,0
H083,"Awas! Jangan makan mi instan dicampur coklat, bisa menyebabkan usus berdarah dan kematian instan! viralkan awas",1
V084,Pertandingan final liga 1 dimenangkan oleh tim tuan rumah dengan skor 2-0. dan ini,0
H084,"Alien tertangkap kamera CCTV mendarat di atap gedung DPR, pemerintah diam saja! awas awas",1
V085,Harga emas antam hari ini stagnan di angka 1 juta rupiah per gram. ini itu,0
H085,"Bantuan langsung tunai 50 juta dari pemerintah, klik link ini sekarang sebelum kehabisan!!! gawat viralkan",1
V086,BMKG memprediksi hujan lebat disertai angin kencang di Jabodetabek besok. ini ini,0
H086,"Waspada penculikan anak menggunakan mobil putih, mereka mengambil organ dalam anak-anak! gawat awas",1
V087,Polisi menetapkan tersangka baru dalam kasus korupsi pengadaan infrastruktur. itu ini,0
H087,"Terungkap! Bumi sebenarnya datar, satelit hanya tipuan konspirasi elit global. awas !!",1
V088,Presiden menghadiri KTT ASEAN di Jakarta hari ini. dan itu,0
H088,Minum air es setelah kepanasan bisa membuat pembuluh darah pecah seketika. awas gawat,1
V089,Pendaftaran beasiswa LPDP gelombang kedua resmi dibuka hari ini. di itu,0
H089,"Cina kirim jutaan tentara pakai baju sipil untuk kuasai pulau Jawa, ini buktinya! !! gawat",1
V090,Pemerintah resmi menetapkan libur nasional pada hari raya bulan depan. itu dan,0
H090,Vaksin covid-19 secara rahasia mengandung chip mikro untuk melacak pergerakan manusia!!! !! viralkan,1
V091,Bank Indonesia melaporkan pertumbuhan ekonomi kuartal ini naik 5 persen. ini ini,0
H091,"Kiamat akan terjadi hari Jumat bulan depan, NASA tutupi fakta ini! Sebarkan! viralkan viralkan",1
V092,"Gempa bermagnitudo 5.2 mengguncang wilayah pesisir, tidak berpotensi tsunami. ini ini",0
H092,Rebusan daun sirih dan madu diklaim bisa menyembuhkan kanker kronis stadium 4 dalam semalam. awas awas,1
V093,Kementerian Kesehatan mendistribusikan vaksin polio ke 10 provinsi. di itu,0
H093,"Awas! Jangan makan mi instan dicampur coklat, bisa menyebabkan usus berdarah dan kematian instan! !! awas",1
V094,Pertandingan final liga 1 dimenangkan oleh tim tuan rumah dengan skor 2-0. itu dan,0
H094,"Alien tertangkap kamera CCTV mendarat di atap gedung DPR, pemerintah diam saja! viralkan !!",1
V095,Harga emas antam hari ini stagnan di angka 1 juta rupiah per gram. itu di,0
H095,"Bantuan langsung tunai 50 juta dari pemerintah, klik link ini sekarang sebelum kehabisan!!! awas !!",1
V096,BMKG memprediksi hujan lebat disertai angin kencang di Jabodetabek besok. dan itu,0
H096,"Waspada penculikan anak menggunakan mobil putih, mereka mengambil organ dalam anak-anak! gawat gawat",1
V097,Polisi menetapkan tersangka baru dalam kasus korupsi pengadaan infrastruktur. dan dan,0
H097,"Terungkap! Bumi sebenarnya datar, satelit hanya tipuan konspirasi elit global. gawat gawat",1
V098,Presiden menghadiri KTT ASEAN di Jakarta hari ini. itu itu,0
H098,Minum air es setelah kepanasan bisa membuat pembuluh darah pecah seketika. gawat awas,1
V099,Pendaftaran beasiswa LPDP gelombang kedua resmi dibuka hari ini. itu di,0
H099,"Cina kirim jutaan tentara pakai baju sipil untuk kuasai pulau Jawa, ini buktinya! awas !!",1
V100,Pemerintah resmi menetapkan libur nasional pada hari raya bulan depan. itu itu,0
H100,Vaksin covid-19 secara rahasia mengandung chip mikro untuk melacak pergerakan manusia!!! gawat !!,1
V101,Bank Indonesia melaporkan pertumbuhan ekonomi kuartal ini naik 5 persen. itu itu,0
H101,"Kiamat akan terjadi hari Jumat bulan depan, NASA tutupi fakta ini! Sebarkan! viralkan awas",1
V102,"Gempa bermagnitudo 5.2 mengguncang wilayah pesisir, tidak berpotensi tsunami. itu di",0
H102,Rebusan daun sirih dan madu diklaim bisa menyembuhkan kanker kronis stadium 4 dalam semalam. gawat awas,1
V103,Kementerian Kesehatan mendistribusikan vaksin polio ke 10 provinsi. di dan,0
H103,"Awas! Jangan makan mi instan dicampur coklat, bisa menyebabkan usus berdarah dan kematian instan! gawat !!",1
V104,Pertandingan final liga 1 dimenangkan oleh tim tuan rumah dengan skor 2-0. dan di,0
H104,"Alien tertangkap kamera CCTV mendarat di atap gedung DPR, pemerintah diam saja! awas viralkan",1
V105,Harga emas antam hari ini stagnan di angka 1 juta rupiah per gram. di di,0
H105,"Bantuan langsung tunai 50 juta dari pemerintah, klik link ini sekarang sebelum kehabisan!!! viralkan gawat",1
V106,BMKG memprediksi hujan lebat disertai angin kencang di Jabodetabek besok. itu dan,0
H106,"Waspada penculikan anak menggunakan mobil putih, mereka mengambil organ dalam anak-anak! !! awas",1
V107,Polisi menetapkan tersangka baru dalam kasus korupsi pengadaan infrastruktur. dan itu,0
H107,"Terungkap! Bumi sebenarnya datar, satelit hanya tipuan konspirasi elit global. !! viralkan",1
V108,Presiden menghadiri KTT ASEAN di Jakarta hari ini. dan itu,0
H108,Minum air es setelah kepanasan bisa membuat pembuluh darah pecah seketika. awas awas,1
V109,Pendaftaran beasiswa LPDP gelombang kedua resmi dibuka hari ini. itu itu,0
H109,"Cina kirim jutaan tentara pakai baju sipil untuk kuasai pulau Jawa, ini buktinya! gawat gawat",1
V110,Pemerintah resmi menetapkan libur nasional pada hari raya bulan depan. dan itu,0
H110,Vaksin covid-19 secara rahasia mengandung chip mikro untuk melacak pergerakan manusia!!! !! awas,1
V111,Bank Indonesia melaporkan pertumbuhan ekonomi kuartal ini naik 5 persen. itu ini,0
H111,"Kiamat akan terjadi hari Jumat bulan depan, NASA tutupi fakta ini! Sebarkan! gawat viralkan",1
V112,"Gempa bermagnitudo 5.2 mengguncang wilayah pesisir, tidak berpotensi tsunami. ini di",0
H112,Rebusan daun sirih dan madu diklaim bisa menyembuhkan kanker kronis stadium 4 dalam semalam. viralkan viralkan,1
V113,Kementerian Kesehatan mendistribusikan vaksin polio ke 10 provinsi. di di,0
H113,"Awas! Jangan makan mi instan dicampur coklat, bisa menyebabkan usus berdarah dan kematian instan! !! gawat",1
V114,Pertandingan final liga 1 dimenangkan oleh tim tuan rumah dengan skor 2-0. di itu,0
H114,"Alien tertangkap kamera CCTV mendarat di atap gedung DPR, pemerintah diam saja! gawat gawat",1
V115,Harga emas antam hari ini stagnan di angka 1 juta rupiah per gram. di dan,0
H115,"Bantuan langsung tunai 50 juta dari pemerintah, klik link ini sekarang sebelum kehabisan!!! viralkan !!",1
V116,BMKG memprediksi hujan lebat disertai angin kencang di Jabodetabek besok. itu ini,0
H116,"Waspada penculikan anak menggunakan mobil putih, mereka mengambil organ dalam anak-anak! awas !!",1
V117,Polisi menetapkan tersangka baru dalam kasus korupsi pengadaan infrastruktur. dan itu,0
H117,"Terungkap! Bumi sebenarnya datar, satelit hanya tipuan konspirasi elit global. !! awas",1
V118,Presiden menghadiri KTT ASEAN di Jakarta hari ini. ini itu,0
H118,Minum air es setelah kepanasan bisa membuat pembuluh darah pecah seketika. gawat awas,1
V119,Pendaftaran beasiswa LPDP gelombang kedua resmi dibuka hari ini. dan itu,0
H119,"Cina kirim jutaan tentara pakai baju sipil untuk kuasai pulau Jawa, ini buktinya! !! awas",1
V120,Pemerintah resmi menetapkan libur nasional pada hari raya bulan depan. itu di,0
H120,Vaksin covid-19 secara rahasia mengandung chip mikro untuk melacak pergerakan manusia!!! !! viralkan,1
V121,Bank Indonesia melaporkan pertumbuhan ekonomi kuartal ini naik 5 persen. dan di,0
H121,"Kiamat akan terjadi hari Jumat bulan depan, NASA tutupi fakta ini! Sebarkan! gawat awas",1
V122,"Gempa bermagnitudo 5.2 mengguncang wilayah pesisir, tidak berpotensi tsunami. dan dan",0
H122,Rebusan daun sirih dan madu diklaim bisa menyembuhkan kanker kronis stadium 4 dalam semalam. awas !!,1
V123,Kementerian Kesehatan mendistribusikan vaksin polio ke 10 provinsi. dan di,0
H123,"Awas! Jangan makan mi instan dicampur coklat, bisa menyebabkan usus berdarah dan kematian instan! !! gawat",1
V124,Pertandingan final liga 1 dimenangkan oleh tim tuan rumah dengan skor 2-0. ini itu,0
H124,"Alien tertangkap kamera CCTV mendarat di atap gedung DPR, pemerintah diam saja! !! awas",1
